Epocs,Batch Size,Drop Rate,Learning Rate,Weight Decay,Accuracy,F1 Score
,,,,,,
5,32,0.5,0.0005,0.0001,43%,0.33
10,32,0.5,0.0005,0.0001,86%,0.89
15,32,0.5,0.0005,0.0001,71%,0.75
20,32,0.5,0.0005,0.0001,57%,0.73
25,32,0.5,0.0005,0.0001,57%,0.67
30,32,0.5,0.0005,0.0001,57%,0.4025,32,0.5,0.0005,0.0001,0.5714285969734192,0.5714285373687744
25,32,0.5,0.0005,0.0001,0.5714285969734192,0.4000000059604645
5,32,0.5,0.0005,0.0001,0.5714285969734192,0.4000000059604645
5,32,0.5,0.0005,0.0001,0.4285714328289032,0.0
5,32,0.5,0.0005,0.0001,0.2857142984867096,0.444444477558136
